Data,Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52:00:00,3.292593873,0.327160494,1.611111111,6.080246914,13.14814815,3.432098765,0.469135802,0.098765432,0.037037037,1.938271605,4.660493827,19.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53:00:00,3.32608156,0.03125,0.46875,0.9375,23.53125,0.40625,0.03125,0.625,0,2.0625,25.40625,15.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54:00:00,3.059399561,0.983539095,2.580246914,1.444444444,11.24691358,2.724279835,0.316872428,0.407407407,0.061728395,1.711934156,5.456790123,15.95884774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:00:00,3.339686562,0.460784314,1.730392157,3.166666667,18.25,2.784313725,0.12254902,0.151960784,0.034313725,1.691176471,9.225490196,19.2745098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:00:00,1.524465357,0.026056338,0.757042254,3.469014085,0.107746479,0.088732394,0.008450704,0.007042254,0.003521127,0.176760563,4.442253521,4.304929577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:00:00,3.758283826,0.382113821,2.382113821,4.008130081,27.32520325,5.910569106,0.512195122,0.211382114,0.024390244,2.260162602,2.804878049,23.56910569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58:00:00,3.528623597,0.111111111,0.777777778,3.536231884,24.23188406,3.893719807,0.236714976,0.111111111,0.028985507,1.285024155,6.806763285,19.47826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59:00:00,2.161477653,0.21641791,1.123134328,1.513059701,3.845149254,1.335820896,0.087686567,0.097014925,0.03358209,0.580223881,3.111940299,7.895522388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60:00:00,3.238764682,0.173202614,1.078431373,2.12745098,17.72222222,3.287581699,0.169934641,0.075163399,0.055555556,0.967320261,2.761437908,16.53594771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61:00:00,2.262857383,0.12012987,1.194805195,6.288961039,0.711038961,0.133116883,0.025974026,0.019480519,0.006493506,1.25974026,9.165584416,8.253246753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62:00:00,2.265784524,3.266272189,3.264792899,0.276627219,0.109467456,0.093195266,0.023668639,1.476331361,0.013313609,1.229289941,9.380177515,6.171597633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63:00:00,3.591649821,0.076923077,0.461538462,1.230769231,29.15384615,0,0,2,0,3.615384615,36.53846154,18.30769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64:00:00,2.888356174,1.106557377,6.450819672,5.368852459,1.237704918,1.581967213,0.295081967,0.270491803,0.024590164,1.983606557,8.442622951,13.90983607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65:00:00,2.371097062,1.351950355,4.495567376,0.04787234,0.124113475,1.892730496,0.058510638,1.679078014,0.029255319,1.146276596,3.720744681,7.460992908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66:00:00,2.448064245,0.580882353,3.772058824,0.409313725,0.355392157,3.524509804,0.480392157,0.284313725,0.056372549,2.291666667,1.370098039,7.867647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67:00:00,2.672614769,0.08988764,0.494382022,2.917602996,8.895131086,1.284644195,0.052434457,0.052434457,0.007490637,0.801498127,8.419475655,12.38202247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68:00:00,3.295413405,0.016722408,0.123745819,1.247491639,23.04682274,2.183946488,0.107023411,0.016722408,0,0.344481605,9.692307692,15.4916388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69:00:00,2.961364519,0.174157303,0.882022472,2.314606742,13.21348315,1.578651685,0.106741573,0.06741573,0.011235955,1.191011236,10.53932584,14.98314607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70:00:00,3.447712595,0.222222222,1.833333333,12.22222222,11.22222222,2.111111111,0.166666667,0.111111111,0,4.166666667,18.72222222,20.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71:00:00,3.263350512,1.063829787,3.276595745,1.588652482,11.21276596,5.716312057,0.482269504,0.680851064,0.021276596,2.397163121,1.531914894,16.81560284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72:00:00,3.050002845,0.025,0.7,17.125,1.6,0.25,0.175,0.15,0,1.425,19.425,12.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73:00:00,2.250005925,0.131313131,1.101010101,5.207070707,0.532828283,1.606060606,0.272727273,0.035353535,0.045454545,0.795454545,2.73989899,7.939393939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74:00:00,3.264905181,0,0.078125,25.96875,0,0.03125,0,0,0,0.1875,26.171875,4.203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75:00:00,3.556321418,0.620689655,4.965517241,16.86206897,1.689655172,5.172413793,0.724137931,0.034482759,0,5.586206897,5.482758621,17.93103448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76:00:00,2.439731601,0.454887218,2.736842105,1.703007519,4.714285714,0.063909774,0.018796992,0.082706767,0.007518797,1.823308271,11.33834586,9.87593985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77:00:00,3.657726368,2.8,13.91428571,8.542857143,2.857142857,4.742857143,0.914285714,1.285714286,0.142857143,4.2,7.685714286,19.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78:00:00,3.256862859,0.006968641,0.25087108,1.156794425,21.55052265,2.595818815,0.139372822,0.020905923,0,0.37630662,5.864111498,14.52264808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79:00:00,3.069939264,0.002463054,0.064039409,1.197044335,18.59852217,1.458128079,0.049261084,0.012315271,0,0.246305419,10.50985222,13.62315271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80:00:00,2.577597332,1.019002375,5.301662708,0.258907363,0.783847981,2.133016627,0.156769596,1.513064133,0.080760095,2.111638955,1.864608076,9.774346793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81:00:00,2.697528141,0.743150685,2.876712329,1.068493151,6.106164384,1.989726027,0.232876712,0.438356164,0.071917808,1.578767123,5.280821918,12.36986301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
